year,pop
1929,121878
1930,123188
1931,124149
1932,124949
1933,125690
1934,126485
1935,127362
1936,128181
1937,128961
1938,129969
1939,131028
1940,132122
1941,133402
1942,134860
1943,136739
1944,138397
1945,139928
1946,141389
1947,144126
1948,146631
1949,149188
1950,151684
1951,154287
1952,156954
1953,159565
1954,162391
1955,165275
1956,168221
1957,171274
1958,174141
1959,177130
1960,180760
1961,183742
1962,186590
1963,189300
1964,191927
1965,194347
1966,196599
1967,198752
1968,200745
1969,202736
1970,205089
1971,207692
1972,209924
1973,211939
1974,213898
1975,215981
1976,218086
1977,220289
1978,222629
1979,225106
1980,227726
1981,230008
1982,232218
1983,234333
1984,236394
1985,238506
1986,240683
1987,242843
1988,245061
1989,247387
1990,250181
1991,253530
1992,256922
1993,260282
1994,263455
1995,266588
1996,269714
1997,272958
1998,276154
1999,279328
2000,282398
2001,285225
2002,287955
2003,290626
2004,293262
2005,295993
2006,298818
2007,301696
2008,304543
2009,307240
2010,309839
2011,312295
2012,314725
2013,317099
2014,319601
2015,322113
2016,324609
2017,326860
2018,328794
2019,330513
2020,331840
2021,332505
2022,334372
2023,337141
2024,340212