year,prc_index_nondurables,prc_index_services
1929,10.341,6.068
1930,9.805,5.894
1931,8.382,5.479
1932,7.187,4.95
1933,7.15,4.639
1934,7.908,4.58
1935,8.173,4.68
1936,8.202,4.756
1937,8.487,4.933
1938,8.069,4.938
1939,7.942,4.924
1940,8.01,4.963
1941,8.687,5.139
1942,10.112,5.501
1943,11.315,5.845
1944,11.973,6.113
1945,12.499,6.313
1946,13.542,6.696
1947,15.29,7.184
1948,16.227,7.563
1949,15.698,7.691
1950,15.737,7.888
1951,17.086,8.276
1952,17.269,8.579
1953,17.209,8.909
1954,17.25,9.133
1955,17.138,9.288
1956,17.383,9.508
1957,17.893,9.786
1958,18.329,10.028
1959,18.356,10.297
1960,18.575,10.571
1961,18.652,10.759
1962,18.754,10.963
1963,18.941,11.138
1964,19.194,11.342
1965,19.54,11.553
1966,20.165,11.886
1967,20.533,12.28
1968,21.273,12.815
1969,22.194,13.476
1970,23.192,14.223
1971,23.846,14.999
1972,24.611,15.634
1973,26.595,16.389
1974,30.617,17.778
1975,32.984,19.302
1976,34.058,20.641
1977,36.009,22.203
1978,38.311,23.91
1979,42.44,25.915
1980,47.647,28.61
1981,51.326,31.541
1982,52.491,34.017
1983,53.392,36.106
1984,54.502,37.985
1985,55.522,39.843
1986,54.813,41.48
1987,56.677,42.726
1988,58.479,44.769
1989,61.38,46.88
1990,64.898,49.029
1991,66.793,50.946
1992,67.764,52.758
1993,68.314,54.582
1994,68.679,56.066
1995,69.396,57.632
1996,70.968,59.214
1997,71.709,60.883
1998,71.182,62.172
1999,72.951,63.409
2000,76.084,65.21
2001,76.893,67.292
2002,76.898,69.033
2003,78.488,71.336
2004,81.206,73.528
2005,84.319,75.998
2006,86.946,78.75
2007,89.505,81.388
2008,94.506,83.783
2009,92,84.432
2010,94.791,86.077
2011,100.417,87.742
2012,102.831,89.648
2013,102.895,91.659
2014,103.409,93.795
2015,99.735,95.462
2016,98.405,97.629
2017,100,100
2018,101.935,102.626
2019,101.848,104.965
2020,101.129,107.055
2021,105.817,111.045
2022,116.258,117.146
2023,118.945,123.067
2024,119.508,127.866